Tytuł;Tytuł org.;Rok;Długość;Ocena;Liczba ocen;Chce zobaczyć;Ocena krytyków;Liczba ocen krytyków;Reżyser;Scenariusz;Gatunek;Kraj;Box Office;Budżet;1;2;3;4;5;6;7;8;9;10;Komentarze;Typ długości;Region
Nie opuszczaj mnie;Nim-ah, geu gang-eool geon-neo-ji mao;2014;86.0;8.139949798583984;836;2020;;;Mo-young Jin;;Dokumentalny;Korea Południowa;88018.0;;8;3;5;7;21;33;110;295;225;129;10;Długometrażowy;Pozostałe
Najbrzydszy samochód świata;Najbrzydszy samochód świata;2017;46.0;7.59375;832;1202;7.0;5.0;Grzegorz Szczepaniak;Grzegorz Szczepaniak;Dokumentalny;Polska;;;3;3;9;11;25;82;222;289;125;63;18;Średniometrażowy;Polska
Królowie nocy;We Own the Night;2007;117.0;6.9686198234558105;31518;10393;7.33333;6.0;James Gray;James Gray;Dramat;USA;28563179.0;21000000.0;97;72;271;660;2045;5787;12827;7407;1569;783;664;Długometrażowy;USA
Wschodnie obietnice;Eastern Promises;2007;100.0;7.104710102081299;31516;15030;7.31579;19.0;David Cronenberg;Steven Knight;Dramat;USA;17266000.0;;68;71;301;551;1850;5098;11580;9012;2249;736;667;Długometrażowy;USA
Tam, gdzie rosną poziomki;Smultronstället;1957;91.0;7.906620025634766;31313;36631;8.36364;22.0;Ingmar Bergman;Ingmar Bergman;Dramat;Szwecja;;;347;98;229;367;916;1848;5736;10843;6972;3957;576;Długometrażowy;Europa
Ból i blask;Dolor y gloria;2019;113.0;7.276969909667969;31317;20498;6.90323;31.0;Pedro Almodóvar;Pedro Almodóvar;Dramat;Hiszpania;4567338.0;;75;67;308;453;1761;4135;9828;10506;3351;833;164;Długometrażowy;Europa
Martyrs. Skazani na strach;Martyrs;2008;99.0;6.268929958343506;31306;13529;6.14286;7.0;Pascal Laugier;Pascal Laugier;Dramat;Francja;;;1233;880;1517;2068;3465;5912;7236;5409;2142;1444;3431;Długometrażowy;Europa
Smacznego telewizorku;Smacznego telewizorku;1992;89.0;5.444230079650879;2107;306;4.0;1.0;Paweł Trzaska;Paweł Trzaska;Familijny;Polska;;;44;70;182;268;460;562;310;127;29;55;27;Długometrażowy;Polska
Gwiazda popu;Popstar;2005;94.0;5.009530067443848;2098;472;;;Richard Gabai;Timothy Barton;Familijny;USA;;;190;143;266;291;370;311;214;113;46;154;56;Długometrażowy;USA
Mój przyjaciel orzeł;Brothers of the Wind;2015;98.0;6.504059791564941;2095;1644;3.0;1.0;Gerardo Olivares, Otmar Penker;Joanne Reay;Familijny;Austria;;;22;18;56;110;221;571;595;333;90;79;25;Długometrażowy;Europa
Scooby-Doo! WrestleMania: Tajemnica ringu;Scooby-Doo! WrestleMania Mystery;2014;80.0;6.712100028991699;2091;367;;;Brandon Vietti;Michael Ryan;Animacja;USA;;;15;14;46;88;212;507;642;337;90;140;53;Średniometrażowy;USA
Kaczki z gęsiej paczki;Duck Duck Goose;2018;91.0;5.877659797668457;2068;679;;;Christopher Jenkins;Rob Muir, Christopher Jenkins;Animacja;USA;;;18;27;93;172;454;643;431;149;31;50;5;Długometrażowy;USA
Pan domu;Man of the House;1995;97.0;5.743020057678223;2043;274;;;James Orr;James Orr, Jim Cruickshank;Familijny;USA;40070995.0;;29;26;88;202;468;679;359;114;39;39;18;Długometrażowy;USA
Dziewczyna kontra potwór;Girl Vs. Monster;2012;90.0;5.925869941711426;2037;625;;;Stuart Gillard;Annie DeYoung, Ron McGee;Familijny;USA;;;63;66;147;186;334;481;331;188;96;145;21;Długometrażowy;USA
Sayonara;Sayonara;1957;147.0;6.567399978637695;1098;957;;;Joshua Logan;Paul Osborn;Dramat;USA;26300000.0;;16;18;35;31;104;266;340;196;54;38;15;Długometrażowy;USA
Drugie życie Lucii;Il richiamo;2010;93.0;6.168499946594238;1092;1043;5.0;1.0;Stefano Pasetto;Veronica Cascelli, Stefano Pasetto;Dramat;Argentyna;;;8;9;50;60;187;313;273;146;32;14;39;Długometrażowy;Pozostałe
Życie na gorąco;The Hot Spot;1990;130.0;6.388279914855957;1092;1395;8.0;1.0;Dennis Hopper;Charles Williams, Nona Tyson;Akcja;USA;1293976.0;;13;4;36;46;134;337;301;152;42;27;55;Długometrażowy;USA
W Kairze;Cairo Time;2009;88.0;6.459139823913574;1089;979;;;Ruba Nadda;Ruba Nadda;Dramat;Kanada;1603616.0;;12;10;32;62;130;279;300;184;38;42;68;Długometrażowy;Pozostałe
Dear Zindagi;Dear Zindagi;2016;151.0;7.626259803771973;1089;441;7.0;1.0;Gauri Shinde;Krishna Hariharan, Gauri Shinde;Dramat;Indie;2376479.0;;10;5;20;18;66;104;224;299;191;152;15;Długometrażowy;Pozostałe
Licealna miłość;High School Lover;2017;86.0;4.477290153503418;1079;313;;;Jerell Rosales;Amber Coney, Jessica Dube;Dramat;USA;;;48;104;183;234;227;128;89;43;10;13;30;Długometrażowy;USA
Matka noc;Mother Night;1996;113.0;7.006509780883789;1076;1340;7.0;1.0;Keith Gordon;Robert B. Weide;Dramat;USA;;;5;4;12;30;73;196;368;274;79;35;32;Długometrażowy;USA
Skłamałam;Skłamałam;1937;79.0;7.262569904327393;1074;506;;;Mieczysław Krawicz;;Dramat;Polska;;;6;3;11;17;59;167;361;280;77;93;37;Średniometrażowy;Polska
Wspinaczka;L'ascension;2017;103.0;6.751659870147705;4659;954;;;Ludovic Bernard;Ludovic Bernard, Nadir Dendoune;Komedia;Francja;;;6;17;81;118;348;1114;1850;866;191;68;24;Długometrażowy;Europa
Czterej muszkieterowie;The Four Musketeers;1974;108.0;7.174540042877197;4612;929;7.0;1.0;Richard Lester;George MacDonald Fraser;Komedia;USA;;;13;11;36;83;245;736;1755;1153;336;244;54;Długometrażowy;USA
Niezwykłe przygody Adeli Blanc-Sec;Les aventures extraordinaires d'Adèle Blanc-Sec;2010;105.0;5.934309959411621;4582;2662;4.0;2.0;Luc Besson;Luc Besson;Akcja;Francja;;;55;80;240;404;856;1230;1049;461;121;86;147;Długometrażowy;Europa
Wyścig Armatniej Kuli;The Cannonball Run;1981;95.0;6.762629985809326;4571;1326;6.0;1.0;Hal Needham;Brock Yates;Komedia;USA;72179579.0;;19;29;81;145;420;1049;1664;732;206;226;63;Długometrażowy;USA
Sanjuro - Samuraj znikąd;Tsubaki Sanjûrô;1962;96.0;7.78911018371582;4538;3716;7.0;4.0;Akira Kurosawa;Ryûzô Kikushima, Hideo Oguni;Dramat;Japonia;;;38;9;28;35;119;352;1063;1588;845;461;43;Długometrażowy;Pozostałe
Mój pan mąż;My Man Godfrey;1936;94.0;7.452159881591797;878;910;7.33333;3.0;Gregory La Cava;Morrie Ryskind, Eric Hatch;Komedia;USA;;;5;3;6;18;30;128;239;273;93;83;40;Długometrażowy;USA
Nazajutrz;The Morning After;1986;103.0;6.135169982910156;873;852;5.5;2.0;Sidney Lumet;David Rayfiel, James Cresson;Akcja;USA;25147055.0;;8;8;20;53;153;289;238;64;17;23;24;Długometrażowy;USA
Wyścig z księżycem;Racing with the Moon;1984;108.0;6.590129852294922;871;765;;;Richard Benjamin;Steve Kloves;Dramat;USA;6045647.0;;10;2;12;25;82;261;302;119;32;26;21;Długometrażowy;USA
Miłość z Księżyca;Baikonur;2011;95.0;6.340350151062012;855;1327;5.0;1.0;Veit Helmer;Sergej Ashkenazy, Veit Helmer;Dramat;Niemcy;;;6;6;28;56;122;223;234;127;37;16;28;Długometrażowy;Europa
Duck Butter;Duck Butter;2018;93.0;4.6870598793029785;850;231;;;Miguel Arteta;Miguel Arteta, Alia Shawkat;Dramat;USA;;;49;41;137;148;192;158;73;38;13;1;11;Długometrażowy;USA
Couch;Couch;2003;2.0;3.849139928817749;696;212;;;Paul Thomas Anderson;Paul Thomas Anderson;Komedia;USA;;;107;105;148;111;72;61;45;16;5;26;13;Krótkometrażowy;USA
Koleje losu;La Femme et le TGV;2016;30.0;6.856319904327393;696;355;5.0;1.0;Timo von Gunten;Timo von Gunten;Dokumentalny;Szwajcaria;;;2;3;6;16;61;151;245;163;38;11;8;Krótkometrażowy;Europa
Kiwaczek;Cheburashka;1972;19.0;7.886330127716064;695;257;;;Roman Kachanov ;Edward Uspienski, Roman Kachanov ;Animacja;ZSRR;;;13;4;5;14;17;37;121;236;133;115;34;Krótkometrażowy;Europa
Przeczucie;Feeling Through;2019;19.0;6.7539801597595215;691;245;;;Doug Roland;Doug Roland;Dramat;USA;;;3;2;10;22;55;148;267;152;26;6;5;Krótkometrażowy;USA
DeKalb Elementary;DeKalb Elementary;2016;21.0;6.4339599609375;689;363;7.5;2.0;Reed Van Dyk;Reed Van Dyk;Dramat;USA;;;1;5;15;26;93;192;223;113;19;2;10;Krótkometrażowy;USA
Scooby-Doo! Upiorna gwiazdka;Scooby-Doo! Haunted Holidays;2012;22.0;6.436860084533691;689;152;;;Victor Cook;Michael Ryan;Animacja;USA;;;5;6;12;28;98;220;191;77;13;39;1;Krótkometrażowy;USA
Dom przy Rillington Place 10;10 Rillington Place;1971;111.0;7.418019771575928;1232;1886;8.0;3.0;Richard Fleischer;Clive Exton;Dokumentalny;Wielka Brytania;;;0;5;7;13;43;135;405;453;138;33;48;Długometrażowy;Europa
Bank Lady;Banklady;2013;118.0;6.393939971923828;1221;1011;5.5;2.0;Christian Alvart;Kai Hafemeister, Christoph Silber;Dokumentalny;Niemcy;;;3;8;20;56;144;396;397;157;27;13;29;Długometrażowy;Europa
Kłopotliwy chłopak;Worried About the Boy;2010;87.0;6.645609855651856;1219;1392;;;Julian Jarrold;Tony Basgallop;Dokumentalny;Wielka Brytania;;;13;10;35;51;126;269;374;218;77;46;24;Długometrażowy;Europa
Nazywam się: Muhammad Ali;What's My Name: Muhammad Ali;2019;165.0;7.755099773406982;833;560;7.0;1.0;Antoine Fuqua;Steven Leckart;Dokumentalny;USA;;;3;0;2;6;12;47;235;348;144;36;3;Długometrażowy;USA
Pollywood;Pollywood;2020;86.0;5.516250133514404;831;204;4.57143;7.0;Paweł Ferdek;Paweł Ferdek;Dokumentalny;Polska;;;11;15;56;107;217;215;139;49;13;9;15;Długometrażowy;Polska
Na ratunek: Misja w jaskini;The Rescue;2021;114.0;7.784619808197021;845;536;7.5;2.0;Jimmy Chin, Elizabeth Chai Vasarhelyi;;Dokumentalny;USA;;;0;1;1;2;12;42;220;412;133;22;6;Długometrażowy;USA
Jeden dzień w PRL;Jeden dzień w PRL;2005;58.0;7.05797004699707;828;597;7.0;2.0;Maciej Drygas;Maciej Drygas;Dokumentalny;Polska;;;7;1;9;11;43;138;329;210;62;18;12;Średniometrażowy;Polska
Krawędź demokracji;Democracia em Vertigem;2019;121.0;6.547100067138672;828;838;4.5;2.0;Petra Costa;Petra Costa, Carol Pires;Dokumentalny;Brazylia;;;5;6;14;40;99;194;266;165;29;10;33;Długometrażowy;Pozostałe
Zagubiony w La Manchy;Lost in La Mancha;2002;93.0;7.292270183563232;828;977;7.0;4.0;Keith Fulton, Louis Pepe;Keith Fulton, Louis Pepe;Dokumentalny;USA;;;8;3;3;13;29;105;310;242;68;47;29;Długometrażowy;USA
Lewiatan;Leviafan;2014;140.0;7.395150184631348;31024;28541;7.19048;21.0;Andriej Zwiagincew;Oleg Negin, Andriej Zwiagincew;Dramat;Rosja;1092800.0;;64;60;266;407;1404;3527;9248;11399;3783;866;715;Długometrażowy;Europa
Biała wstążka;Das Weisse Band - Eine deutsche Kindergeschichte;2009;144.0;7.534130096435547;30996;45355;7.73913;23.0;Michael Haneke;Michael Haneke;Dramat;Austria;2222862.0;18000000.0;259;194;453;646;1401;2669;7066;10683;5257;2368;722;Długometrażowy;Europa
Niebo o północy;The Midnight Sky;2020;122.0;4.883870124816895;30956;3487;3.81818;11.0;George Clooney;Mark L. Smith;Dramat;USA;;;641;1058;4781;5535;8324;5913;3248;1124;201;131;667;Długometrażowy;USA
28 dni;28 days;2000;103.0;6.668970108032227;30701;6560;6.0;2.0;Betty Thomas;Susannah Grant;Dramat;USA;37170488.0;43000000.0;57;72;369;876;3072;8276;11355;4875;1059;690;216;Długometrażowy;USA
Twój Simon;Love, Simon;2018;109.0;7.13454008102417;30668;13726;7.09091;11.0;Greg Berlanti;Elizabeth Berger, Isaac Aptaker;Dramat;USA;40826341.0;17000000.0;131;90;309;695;1984;5454;10107;7406;2777;1715;380;Długometrażowy;USA
W pogoni za zemstą;Faster;2010;95.0;6.656139850616455;30640;4562;5.5;2.0;George Tillman Jr.;Joe Gayton, Tony Gayton;Dramat;USA;23240020.0;24000000.0;89;145;542;1155;3320;7670;10410;4957;1347;1005;593;Długometrażowy;USA
Gorzka siedemnastka;The Edge of Seventeen;2016;104.0;6.772930145263672;30638;9000;6.66667;9.0;Kelly Fremon Craig;Kelly Fremon Craig;Dramat;USA;14431633.0;9000000.0;49;85;399;895;2521;7204;11755;5778;1345;607;141;Długometrażowy;USA
Małolat;North;1994;87.0;5.4028000831604;2001;929;5.0;1.0;Rob Reiner;Andrew Scheinman, Alan Zweibel;Familijny;USA;7182747.0;40000000.0;63;71;150;235;444;567;299;94;31;47;44;Długometrażowy;USA
Manu. Bądź sobą!;Manou - flieg' flink!;2019;88.0;6.271770000457764;1998;713;5.0;1.0;Christian Haas;Andrea Block, Axel Melzener;Animacja;Niemcy;;;22;25;104;141;352;479;435;206;84;150;20;Długometrażowy;Europa
Happy wkręt 2;Happily N'Ever After 2;2009;75.0;5.123370170593262;1994;439;;;Steven E. Gordon, Boyd Kirkland;Chris Denk;Animacja;USA;;;85;103;219;317;462;363;238;95;34;78;12;Średniometrażowy;USA
Flipper;Flipper;1996;95.0;6.113900184631348;1993;273;;;Alan Shapiro;Alan Shapiro, Arthur Weiss;Familijny;USA;20080020.0;25530000.0;14;15;45;140;382;672;473;144;39;69;10;Długometrażowy;USA
Przygody Rudego;Red Dog;2011;92.0;7.2455902099609375;1983;1237;;;Kriv Stenders;Daniel Taplitz;Dramat;Australia;;;11;4;23;38;107;309;620;546;219;106;32;Długometrażowy;Pozostałe
Zaklęty książę;Prince Charming;2001;87.0;5.820990085601807;1972;550;;;Allan Arkush;Doug Palau;Familijny;USA;;;27;35;99;199;431;561;359;156;43;62;7;Długometrażowy;USA
Kosmiczne psiaki;Space Buddies;2009;84.0;6.22415018081665;1963;365;;;Robert Vince;Robert Vince, Anna McRoberts;Familijny;Kanada;;;61;47;94;140;298;430;399;247;88;159;20;Długometrażowy;Pozostałe
Z dżungli do dżungli;Jungle 2 Jungle;1997;105.0;5.678850173950195;1943;233;;;John Pasquin;Raynold Gideon, Bruce A. Evans;Familijny;Francja;59927618.0;;25;35;128;188;393;668;335;102;21;48;14;Długometrażowy;Europa
Wiarołomni;Trolösa;2000;155.0;7.771460056304932;1072;2394;6.0;4.0;Liv Ullmann;Ingmar Bergman;Dramat;Niemcy;;;11;8;9;17;47;69;198;378;200;135;55;Długometrażowy;Europa
All My Life;All My Life;2020;93.0;6.2657999992370605;1076;681;;;Marc Meyers;Todd Rosenberg;Dramat;USA;913935.0;;5;10;23;70;168;330;291;126;27;26;17;Długometrażowy;USA
Carmen i Lola;Carmen y Lola;2018;103.0;6.448919773101807;1067;408;;;Arantxa Echevarria;Arantxa Echevarria;Dramat;Hiszpania;;;8;7;23;47;114;290;394;136;34;14;10;Długometrażowy;Europa
Podróż do Włoch;Viaggio in Italia;1954;85.0;6.794919967651367;1063;1143;7.5;2.0;Roberto Rossellini;Vitaliano Brancati, Roberto Rossellini;Dramat;Francja;;;1;2;15;31;77;254;396;228;46;13;16;Długometrażowy;Europa
Zandalee;Zandalee;1991;100.0;5.783269882202148;1052;611;6.0;1.0;Sam Pillsbury;Mari Kornhauser;Dramat;USA;;;20;25;63;101;208;279;214;95;21;26;26;Długometrażowy;USA
Już tu nie mieszkamy;We Don't Live Here Anymore;2004;101.0;6.457250118255615;1041;1601;7.0;1.0;John Curran;Larry Gross;Dramat;USA;2041014.0;3000000.0;11;8;24;50;135;273;320;145;40;35;33;Długometrażowy;USA
Na wyciągnięcie ręki;Au bout des doigts;2018;106.0;6.488949775695801;1041;858;;;Ludovic Bernard;Ludovic Bernard, Johanne Bernard;Dramat;Francja;;;5;11;19;33;104;328;353;132;36;20;14;Długometrażowy;Europa
Vinterviken;Vinterviken;2021;90.0;5.128749847412109;1033;108;;;Alexis Almström;Dunja Vujovic;Dramat;Szwecja;;;20;28;103;183;300;205;135;36;12;11;4;Długometrażowy;Europa
Przyjaciel u boku;L'homme de chevet;2009;92.0;6.660820007324219;1026;1060;;;Alain Monne;Alain Monne, Nathalie Vailloud;Dramat;Francja;;;4;3;19;39;106;236;384;160;53;22;37;Długometrażowy;Europa
Upadłe anioły;Fallen;2006;81.0;6.885560035705566;4369;3393;;;Mikael Salomon, Kevin Kerslake;Sara B. Cooper, Tom Sniegoski;Fantasy;USA;;;34;55;138;212;454;750;1111;834;352;429;198;Długometrażowy;USA
Dziewczyna i chłopak;Dziewczyna i chłopak;1980;87.0;6.880229949951172;4325;763;;;Stanisław Loth, Marian Kiełbaszczak;Anette Olsen, Hanna Ożogowska;Komedia;Polska;;;55;19;42;118;299;966;1520;838;249;219;59;Długometrażowy;Polska
Jaskiniowiec;Early Man;2018;89.0;6.098470211029053;4316;2688;6.14286;7.0;Nick Park;Mark Burton, John O'Farrell;Animacja;Wielka Brytania;8267544.0;50000000.0;35;32;145;291;752;1363;1136;397;93;72;41;Długometrażowy;Europa
Karmazynowy pirat;The Crimson Pirate;1952;105.0;7.668920040130615;4298;1873;7.0;1.0;Robert Siodmak;Roland Kibbee;Komedia;USA;;;22;6;29;46;156;435;1101;1371;729;403;70;Długometrażowy;USA
Szczęście;Le bonheur;1965;79.0;7.545129776000977;842;1761;7.8;5.0;Agnès Varda;Agnès Varda;Dramat;Francja;;;1;2;5;10;17;61;270;355;98;23;6;Średniometrażowy;Europa
Za humor i Sunny;Standing Up for Sunny;2019;105.0;6.539569854736328;834;136;;;Steven Vidler;Steven Vidler;Dramat;Australia;;;5;8;13;38;74;247;265;137;31;16;1;Długometrażowy;Pozostałe
Kwiaciarka;Flower Girl;2009;90.0;5.23769998550415;833;163;;;Bradford May;Marjorie Sweeney;Dramat;USA;;;25;29;98;138;168;182;103;50;19;21;8;Długometrażowy;USA
Przyjęcie weselne;Xi Yan;1993;106.0;6.001200199127197;831;2003;5.0;1.0;Ang Lee;Neil Peng, James Schamus;Dramat;Tajwan;6933459.0;1000000.0;48;32;44;61;101;147;205;109;35;49;5;Długometrażowy;Pozostałe
Inny kraj;Another Country;1984;90.0;6.760340213775635;822;1837;7.0;2.0;Marek Kanievska;Julian Mitchell;Dokumentalny;Wielka Brytania;;;12;3;16;26;70;159;301;167;40;28;19;Długometrażowy;Europa
Ślub po polsku;Polish Wedding;1998;105.0;5.146160125732422;821;2672;5.0;1.0;Theresa Connelly;Theresa Connelly;Dramat;USA;;;105;31;88;71;151;157;93;36;16;73;140;Długometrażowy;USA
A Perfect Ending;A Perfect Ending;2012;110.0;6.164000034332275;811;512;;;Nicole Conn;Nicole Conn;Dramat;USA;;;16;29;51;55;121;165;183;96;42;53;54;Długometrażowy;USA
Kłamstwo o czterech twarzach;The Four-Faced Liar;2010;100.0;5.335400104522705;808;444;;;Jacob Chase;Marja Lewis Ryan;Dramat;USA;;;29;26;91;92;158;200;134;53;13;12;27;Długometrażowy;USA
Mój piękny kraj;Die Brücke am Ibar;2012;90.0;7.399499893188477;806;539;;;Michaela Kezele;Michaela Kezele;Dramat;Serbia;;;1;0;4;9;21;110;276;281;70;34;30;Długometrażowy;Europa
Oj, nie mogę się zatrzymać;Oj, nie mogę się zatrzymać;1974;10.0;6.828949928283691;684;132;;;Zbigniew Rybczyński;Zbigniew Rybczyński;Animacja;Polska;;;9;5;21;32;54;115;203;148;74;23;8;Krótkometrażowy;Polska
Rats: A Sin City Yarn;Rats: A Sin City Yarn;2004;3.0;5.375370025634766;682;361;;;David Brocca;Frank Miller;Akcja;USA;;;15;24;60;92;146;185;100;39;7;14;13;Krótkometrażowy;USA
Kobyle Caco;Kobyle Caco;1998;4.0;6.444119930267334;680;41;;;Z.F. Skurcz;;;Polska;;;21;19;30;41;67;118;172;125;48;39;3;Krótkometrażowy;Polska
128. szczur;128. szczur;2013;30.0;6.255159854888916;678;237;;;Jakub Pączek;Jakub Pączek;;Polska;;;5;4;31;48;85;188;191;90;27;9;14;Krótkometrażowy;Polska
Barry;Barry;2016;104.0;5.341949939727783;1199;938;7.0;1.0;Vikram Gandhi;Adam Mansbach;Dokumentalny;USA;;;24;12;99;153;357;320;159;54;12;9;13;Długometrażowy;USA
Bernadetta. Cud w Lourdes;Je m'appelle Bernadette;2011;109.0;6.361949920654297;1188;1008;6.0;1.0;Jean Sagols;Serge Lascar, Robert Arnaut;Dokumentalny;Francja;;;20;11;39;80;153;310;305;160;61;49;49;Długometrażowy;Europa
Kokainowa matka chrzestna;Cocaine Godmother;2017;100.0;6.083759784698486;1182;663;;;Guillermo Navarro;Molly McAlpine, David McKenna;Dokumentalny;USA;;;10;10;79;109;226;312;225;87;25;99;43;Długometrażowy;USA
Tratwa;Against the Sun;2014;100.0;6.482580184936523;1177;1171;;;Brian Falk;Brian Falk, Mark David Keegan;Dokumentalny;USA;;;4;2;15;66;153;349;371;135;43;39;38;Długometrażowy;USA
Inne spojrzenie;Egymásra nézve;1982;102.0;7.372330188751221;1171;2401;7.0;4.0;Károly Makk, János Xantus;Károly Makk, Erzsébet Galgóczi;Dokumentalny;Węgry;;;2;2;8;30;66;150;330;374;139;70;51;Długometrażowy;Europa
Super High Me;Super High Me;2007;94.0;5.1739702224731445;822;505;;;Michael Blieden;;Dokumentalny;USA;;;43;27;98;99;180;172;123;56;15;9;29;Długometrażowy;USA
Serce dębu;Le Chêne;2022;80.0;7.441349983215332;827;1430;6.83333;6.0;Laurent Charbonnier, Michel Seydoux;Michel Seydoux, Michel Fessler;Dokumentalny;Francja;;;4;0;3;12;28;116;263;248;98;55;15;Średniometrażowy;Europa
Bruce Lee - to ja;I Am Bruce Lee;2012;94.0;7.451769828796387;819;443;;;Pete McCormack;;Dokumentalny;Kanada;;;4;0;7;11;36;99;224;300;88;50;30;Długometrażowy;Pozostałe
Szare ogrody;Grey Gardens;1975;100.0;7.77262020111084;818;2365;8.25;4.0;Ellen Hovde, Albert Maysles;;Dokumentalny;USA;;;4;4;4;6;27;57;155;356;150;55;6;Długometrażowy;USA
Everybody's Everything;Everybody's Everything;2019;116.0;7.904530048370361;817;464;6.5;2.0;Sebastian Jones, Ramez Silyan;;Dokumentalny;USA;;;6;2;4;15;25;54;173;270;124;144;15;Długometrażowy;USA
Nie zapomnij mnie;Vergiss mein nicht;2012;88.0;7.448530197143555;816;3296;6.0;1.0;David Sieveking;David Sieveking;Dokumentalny;Niemcy;;;3;0;8;10;25;92;253;293;101;31;22;Długometrażowy;Europa
Rozbitkowie;Stranded: I've Come from a Plane That Crashed on the Mountains;2007;113.0;7.663390159606934;814;961;;;Gonzalo Arijon ;Gonzalo Arijon ;Dokumentalny;Francja;;;3;2;2;7;24;71;215;303;148;39;31;Długometrażowy;Europa
Sir Alex Ferguson: Never Give In;Sir Alex Ferguson: Never Give In;2021;109.0;7.58896017074585;815;206;;;Jason Ferguson;Mark Monroe;Dokumentalny;Wielka Brytania;;;1;2;3;8;15;79;272;274;116;45;9;Długometrażowy;Europa
Odległa błękitna planeta;The Wild Blue Yonder;2005;81.0;6.355999946594238;809;1253;;;Werner Herzog;Werner Herzog;Dokumentalny;Wielka Brytania;;;14;12;41;66;111;162;175;129;57;42;50;Długometrażowy;Europa
Obrońcy skarbów;The Monuments Men;2014;118.0;5.643479824066162;30517;13403;4.9;10.0;George Clooney;George Clooney, Grant Heslov;Dramat;USA;78031620.0;70000000.0;180;403;2005;3201;7682;8822;5725;1788;414;297;444;Długometrażowy;USA
Mama na obcasach;Raising Helen;2004;119.0;6.577079772949219;30507;4127;;;Garry Marshall;Jack Amiel, Michael Begler;Dramat;USA;37486512.0;50000000.0;116;112;498;1298;3534;8407;9963;4489;1044;1046;123;Długometrażowy;USA
Elegia dla bidoków;Hillbilly Elegy;2020;116.0;7.080259799957275;30440;6807;4.6;15.0;Ron Howard;Vanessa Taylor;Dramat;USA;;;46;69;303;571;2203;5584;10913;6874;2526;1351;254;Długometrażowy;USA
Fisher King;The Fisher King;1991;137.0;7.592830181121826;30393;20638;7.35714;14.0;Terry Gilliam;Richard LaGravenese;Dramat;USA;41895491.0;24000000.0;83;68;251;397;1143;2985;7868;10792;4888;1918;332;Długometrażowy;USA
Skazany na śmierć: Ostatnia ucieczka;Prison Break: The Final Break;2009;89.0;7.392889976501465;30189;6842;1.0;1.0;Kevin Hooks, Brad Turner;Zack Estrin, Paul Scheuring;Dramat;USA;;;308;208;524;755;1718;3676;7677;7952;3843;3528;385;Długometrażowy;USA
Syn Szawła;Saul fia;2015;107.0;6.944180011749268;30167;36690;8.11539;26.0;László Nemes;László Nemes, Clara Royer;Dramat;Węgry;1777043.0;1650000.0;183;167;771;948;2891;4843;8444;7922;3114;884;700;Długometrażowy;Europa
Scooby-Doo! Upiór w operze;Scooby-Doo! Stage Fright;2013;75.0;6.7954301834106445;1926;262;;;Victor Cook;Doug Langdale;Animacja;USA;;;8;7;21;70;154;482;698;300;85;101;6;Średniometrażowy;USA
Mój przyjaciel, Skip;My Dog Skip;2000;95.0;7.37962007522583;1923;1651;;;Jay Russell;Gail Gilchriest;Dramat;USA;34134641.0;6000000.0;14;4;14;36;113;244;563;565;207;163;47;Długometrażowy;USA
Scooby-Doo: Wielka draka wilkołaka;Big Top Scooby-Doo!;2012;81.0;6.741549968719482;1923;278;;;Ben Jones;Doug Langdale;Animacja;USA;;;22;7;19;52;203;502;629;285;87;117;9;Długometrażowy;USA
Jedziemy do babci;To Grandmother's House We Go;1992;96.0;6.2801899909973145;1913;473;;;Jeff Franklin;Jeff Franklin, Boyd Hale;Familijny;USA;;;43;17;64;134;285;547;426;191;68;138;21;Długometrażowy;USA
Beethoven 5;Beethoven's 5th;2003;90.0;5.592750072479248;1903;331;;;Mark Griffiths;Elana Lesser, Cliff Ruby;Familijny;USA;;;77;61;138;233;416;402;264;153;56;103;13;Długometrażowy;USA
Weź Tubę na próbę;Made... The Movie;2010;80.0;5.256569862365723;1902;250;;;Samir Rehem;Amy Engelberg, Wendy Engelberg;Familijny;Kanada;;;80;101;190;266;414;368;260;107;32;84;54;Średniometrażowy;Pozostałe
Flicka 3: Najlepsi przyjaciele;Flicka: Country Pride;2012;93.0;6.7721099853515625;1900;647;;;Michael Damian;Jennifer Robinson;Familijny;USA;;;31;13;59;82;216;402;458;317;149;173;29;Długometrażowy;USA
Harvey;Harvey;1950;104.0;7.747889995574951;1896;2181;8.0;4.0;Henry Koster;Oscar Brodney, Mary Chase;Familijny;USA;;;28;3;11;22;59;160;423;626;329;235;40;Długometrażowy;USA
Świąteczne psiaki;Santa Buddies;2009;88.0;6.546319961547852;1889;462;5.0;1.0;Robert Vince;Anna McRoberts, Robert Vince;Familijny;Kanada;;;37;29;76;114;232;400;458;255;99;189;33;Długometrażowy;Pozostałe
Keul-le-sik;Keul-le-sik;2003;127.0;7.553170204162598;1025;946;;;Jae-young Kwak;Jae-young Kwak;Dramat;Korea Południowa;;;13;4;8;21;52;102;257;291;156;121;74;Długometrażowy;Pozostałe
Akuszerka;Kätilö;2015;119.0;6.142159938812256;1020;545;;;Antti Jokinen;Antti Jokinen, Katja Kettu;Dramat;Finlandia;;;9;10;44;81;173;271;248;125;37;22;15;Długometrażowy;Europa
Pani Dalloway;Mrs. Dalloway;1997;100.0;6.222879886627197;1014;1187;6.0;1.0;Marleen Gorris;Eileen Atkins;Dramat;Holandia;3309421.0;;13;15;44;54;142;267;297;132;28;22;25;Długometrażowy;Europa
