Tytuł;Tytuł org.;Rok;Długość;Ocena;Liczba ocen;Chce zobaczyć;Ocena krytyków;Liczba ocen krytyków;Reżyser;Scenariusz;Gatunek;Kraj;Box Office;Budżet;1;2;3;4;5;6;7;8;9;10;Komentarze;Typ długości;Region
Człowiek z kamerą filmową;Chelovek s kinoapparatom;1929;68.0;8.07624;8355;13218;8.0;9.0;Dziga Vertov;Dziga Vertov;Dokumentalny;ZSRR;;;209;21;51;65;147;371;1165;2708;2147;1471;182;Średniometrażowy;Europa
Brzdąc;The Kid;1921;68.0;8.09575;17818;9945;8.5;12.0;Charlie Chaplin;Charlie Chaplin;Dramat;USA;5450000.0;250000.0;125;26;46;97;234;881;3142;6744;4085;2438;157;Średniometrażowy;USA
Dzisiejsze czasy;Modern Times;1936;87.0;8.09294;11739;10876;8.35294;17.0;Charlie Chaplin;Charlie Chaplin;Komedia;USA;163577.0;1500000.0;94;29;51;81;201;564;1991;4199;2834;1695;116;Długometrażowy;USA
Podróż na Księżyc;Le voyage dans la lune;1902;14.0;7.72059;18704;7422;7.7;10.0;Georges Méliès;Georges Méliès;Akcja;Francja;;;104;60;144;228;525;1581;4553;6639;2956;1914;441;Krótkometrażowy;Europa
Męczeństwo Joanny d'Arc;La passion de Jeanne d'Arc;1928;114.0;8.14964;6068;9344;8.66667;15.0;Carl Theodor Dreyer;Joseph Delteil, Carl Theodor Dreyer;Dramat;Francja;;;78;19;34;67;148;272;942;1783;1514;1211;220;Długometrażowy;Europa
Titanic;Titanic;1997;194.0;7.31954;773589;20280;7.42308;26.0;James Cameron;James Cameron;Dramat;USA;659363944.0;200000000.0;13343;8263;19305;30373;54328;90280;160142;178593;99638;119324;17146;Długometrażowy;USA
Ciekawy przypadek Benjamina Buttona;The Curious Case of Benjamin Button;2008;166.0;7.68776;504227;70831;5.91667;24.0;David Fincher;Eric Roth, Robin Swicord;Fantasy;USA;127509326.0;150000000.0;2050;1828;5402;8673;20553;45833;112276;164029;91985;51598;6725;Długometrażowy;USA
Pamiętnik;The Notebook;2004;123.0;8.02269;368858;53227;6.0;14.0;Nick Cassavetes;Jan Sardi, Jeremy Leven;Dramat;USA;81417274.0;29000000.0;2066;1103;3120;5048;11206;25876;62727;109302;83481;64929;5559;Długometrażowy;USA
Joe Black;Meet Joe Black;1998;181.0;7.6509;271719;43931;5.23529;17.0;Martin Brest;Ron Osborn, Jeff Reno;Fantasy;USA;44619100.0;90000000.0;895;809;2487;4151;10698;26038;65980;90783;44306;25572;3004;Długometrażowy;USA
Wielki Gatsby;The Great Gatsby;2013;142.0;7.26338;244569;44416;5.91304;23.0;Baz Luhrmann;Baz Luhrmann, Craig Pearce;Dramat;Australia;144840419.0;105000000.0;559;730;3345;5119;15956;34606;71563;71024;29351;12316;3560;Długometrażowy;Pozostałe
Lektor;The Reader;2008;124.0;7.80894;200778;62610;6.70588;17.0;Stephen Daldry;David Hare;Dramat;USA;34194407.0;32000000.0;567;354;1035;1765;4949;14213;45159;79247;38578;14911;3362;Długometrażowy;USA
Między słowami;Lost in Translation;2003;102.0;7.43247;169068;52915;7.95652;23.0;Sofia Coppola;Sofia Coppola;Komedia;USA;44585453.0;4000000.0;1008;874;2848;4009;9895;18887;40629;50258;26608;14052;2492;Długometrażowy;USA
Dirty Dancing;Dirty Dancing;1987;100.0;7.44446;279468;13683;7.29412;17.0;Emile Ardolino;Eleanor Bergstein;Dramat;USA;64577242.0;6000000.0;1663;1412;3714;6576;14863;34616;72881;77374;36304;30065;1972;Długometrażowy;USA
Ona;Her;2013;126.0;7.45344;167125;48159;7.11111;27.0;Spike Jonze;Spike Jonze;Dramat;USA;25568251.0;23000000.0;533;606;2350;3024;8723;17931;41809;56255;28079;7815;2392;Długometrażowy;USA
Pearl Harbor;Pearl Harbor;2001;183.0;7.41445;224108;31713;4.26667;15.0;Michael Bay;Randall Wallace;Dramat;USA;198542554.0;140000000.0;1339;1623;3988;6002;13130;25992;54148;63383;31651;22852;2660;Długometrażowy;USA
Leon zawodowiec;Léon;1994;110.0;8.14461;831351;60316;7.96429;28.0;Luc Besson;Luc Besson;Dramat;Francja;19501238.0;16000000.0;5721;2649;5824;10607;22805;47732;124502;242187;202553;166771;5790;Długometrażowy;Europa
Infiltracja;The Departed;2006;152.0;8.0168;338454;77676;7.65385;26.0;Martin Scorsese;William Monahan, Felix Chong;Akcja;USA;132399394.0;90000000.0;696;399;1283;2313;6123;18075;63117;132729;81183;32536;4885;Długometrażowy;USA
Dziewczyna z tatuażem;The Girl with the Dragon Tattoo;2011;158.0;7.68779;320624;54853;7.44;25.0;David Fincher;Steven Zaillian;Akcja;USA;102515793.0;90000000.0;648;528;1911;2969;9741;26297;79964;125016;56286;17264;9296;Długometrażowy;USA
Iluzja;Now You See Me;2013;115.0;7.39448;332341;28490;4.84211;19.0;Louis Leterrier;Boaz Yakin, Edward Ricourt;Akcja;USA;117723989.0;75000000.0;785;1074;4052;6250;17565;41287;92176;104817;45264;19071;3350;Długometrażowy;USA
Blow;Blow;2001;124.0;7.79735;223390;65745;6.13333;15.0;Ted Demme;Nick Cassavetes, David McKenna;Dokumentalny;USA;52990775.0;53000000.0;746;325;1030;2007;6158;17491;51796;82580;42183;19074;2045;Długometrażowy;USA
